time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,34897;-0,1016;0,9027;0,4424;1,01;stairs;Samsung Galaxy S10;Isaías
0,352919;-0,1002;0,9088;0,4412;1,015;stairs;Samsung Galaxy S10;Isaías
0,358065;-0,0989;0,9151;0,4373;1,019;stairs;Samsung Galaxy S10;Isaías
0,362998;-0,0963;0,919;0,428;1,018;stairs;Samsung Galaxy S10;Isaías
0,369042;-0,0946;0,9251;0,4168;1,019;stairs;Samsung Galaxy S10;Isaías
0,373199;-0,0975;0,9273;0,4058;1,017;stairs;Samsung Galaxy S10;Isaías
0,37882;-0,0972;0,9332;0,3955;1,018;stairs;Samsung Galaxy S10;Isaías
0,383789;-0,1021;0,9315;0,3877;1,014;stairs;Samsung Galaxy S10;Isaías
0,388242;-0,1046;0,9342;0,3877;1,017;stairs;Samsung Galaxy S10;Isaías
0,397873;-0,1097;0,9291;0,3848;1,012;stairs;Samsung Galaxy S10;Isaías
0,399135;-0,1146;0,9229;0,3889;1,008;stairs;Samsung Galaxy S10;Isaías
0,404239;-0,1177;0,911;0,3977;1,001;stairs;Samsung Galaxy S10;Isaías
0,411361;-0,119;0,9029;0,4097;0,999;stairs;Samsung Galaxy S10;Isaías
0,41385;-0,1185;0,8949;0,4204;0,996;stairs;Samsung Galaxy S10;Isaías
0,419911;-0,1163;0,889;0,4277;0,993;stairs;Samsung Galaxy S10;Isaías
0,424802;-0,1165;0,8834;0,4358;0,992;stairs;Samsung Galaxy S10;Isaías
0,429685;-0,1175;0,879;0,4429;0,991;stairs;Samsung Galaxy S10;Isaías
0,434434;-0,1175;0,8738;0,448;0,989;stairs;Samsung Galaxy S10;Isaías
0,439504;-0,117;0,8724;0,4517;0,989;stairs;Samsung Galaxy S10;Isaías
0,45394;-0,1177;0,8692;0,4529;0,987;stairs;Samsung Galaxy S10;Isaías
0,454272;-0,1182;0,8707;0,4527;0,988;stairs;Samsung Galaxy S10;Isaías
0,454463;-0,1168;0,8719;0,4527;0,989;stairs;Samsung Galaxy S10;Isaías
0,459612;-0,116;0,8729;0,4544;0,991;stairs;Samsung Galaxy S10;Isaías
0,46453;-0,1168;0,8731;0,4541;0,991;stairs;Samsung Galaxy S10;Isaías
0,469919;-0,1207;0,8704;0,4546;0,989;stairs;Samsung Galaxy S10;Isaías
0,47496;-0,1278;0,8648;0,4534;0,985;stairs;Samsung Galaxy S10;Isaías
0,480193;-0,1346;0,8582;0,4498;0,978;stairs;Samsung Galaxy S10;Isaías
0,485302;-0,1427;0,8565;0,4422;0,974;stairs;Samsung Galaxy S10;Isaías
0,490183;-0,1493;0,8489;0,4302;0,963;stairs;Samsung Galaxy S10;Isaías
0,495057;-0,1527;0,8428;0,4194;0,954;stairs;Samsung Galaxy S10;Isaías
0,500612;-0,1517;0,8372;0,4038;0,942;stairs;Samsung Galaxy S10;Isaías
0,505654;-0,1495;0,8394;0,3877;0,937;stairs;Samsung Galaxy S10;Isaías
0,510578;-0,1429;0,8475;0,3713;0,936;stairs;Samsung Galaxy S10;Isaías
0,515048;-0,1351;0,8597;0,3525;0,939;stairs;Samsung Galaxy S10;Isaías
0,520153;-0,1302;0,8709;0,3352;0,942;stairs;Samsung Galaxy S10;Isaías
0,525992;-0,13;0,8792;0,3249;0,946;stairs;Samsung Galaxy S10;Isaías
0,53039;-0,1253;0,8834;0,3193;0,948;stairs;Samsung Galaxy S10;Isaías
0,536052;-0,1173;0,8868;0,3137;0,948;stairs;Samsung Galaxy S10;Isaías
0,541591;-0,1097;0,886;0,3107;0,945;stairs;Samsung Galaxy S10;Isaías
0,545937;-0,1043;0,8846;0,3022;0,941;stairs;Samsung Galaxy S10;Isaías
0,550868;-0,098;0,8814;0,2973;0,935;stairs;Samsung Galaxy S10;Isaías
0,55697;-0,0928;0,8819;0,2978;0,935;stairs;Samsung Galaxy S10;Isaías
0,560798;-0,0938;0,8846;0,3024;0,94;stairs;Samsung Galaxy S10;Isaías
0,566318;-0,0909;0,887;0,3051;0,942;stairs;Samsung Galaxy S10;Isaías
0,570879;-0,0914;0,89;0,3066;0,946;stairs;Samsung Galaxy S10;Isaías
0,576506;-0,0919;0,8922;0,3139;0,95;stairs;Samsung Galaxy S10;Isaías
0,58189;-0,0931;0,8995;0,3198;0,959;stairs;Samsung Galaxy S10;Isaías
0,586114;-0,0892;0,9083;0,3237;0,968;stairs;Samsung Galaxy S10;Isaías
0,594972;-0,0855;0,9137;0,3286;0,975;stairs;Samsung Galaxy S10;Isaías
0,596786;-0,0845;0,9149;0,3391;0,979;stairs;Samsung Galaxy S10;Isaías
0,602203;-0,0806;0,9188;0,354;0,988;stairs;Samsung Galaxy S10;Isaías
0,606541;-0,0799;0,9159;0,3677;0,99;stairs;Samsung Galaxy S10;Isaías
0,612067;-0,0782;0,9127;0,3811;0,992;stairs;Samsung Galaxy S10;Isaías
0,616622;-0,0747;0,9107;0,3987;0,997;stairs;Samsung Galaxy S10;Isaías
0,621496;-0,0716;0,909;0,4109;1;stairs;Samsung Galaxy S10;Isaías
0,626862;-0,0691;0,9054;0,4182;1;stairs;Samsung Galaxy S10;Isaías
0,631863;-0,0664;0,9032;0,4241;1;stairs;Samsung Galaxy S10;Isaías
0,637612;-0,0652;0,9005;0,4246;0,998;stairs;Samsung Galaxy S10;Isaías
0,642817;-0,0696;0,8988;0,4248;0,997;stairs;Samsung Galaxy S10;Isaías
0,647052;-0,0777;0,8973;0,426;0,996;stairs;Samsung Galaxy S10;Isaías
0,652078;-0,0848;0,8946;0,4231;0,993;stairs;Samsung Galaxy S10;Isaías
0,657956;-0,0936;0,8995;0,4168;0,996;stairs;Samsung Galaxy S10;Isaías
0,662317;-0,1029;0,9022;0,4092;0,996;stairs;Samsung Galaxy S10;Isaías
0,667338;-0,1165;0,9073;0,4033;1;stairs;Samsung Galaxy S10;Isaías
0,673501;-0,1292;0,9129;0,3967;1,004;stairs;Samsung Galaxy S10;Isaías
0,677671;-0,1385;0,9183;0,3953;1,009;stairs;Samsung Galaxy S10;Isaías
0,68329;-0,1478;0,9203;0,3953;1,012;stairs;Samsung Galaxy S10;Isaías
0,687578;-0,1527;0,9278;0,4031;1,023;stairs;Samsung Galaxy S10;Isaías
0,695886;-0,1468;0,9354;0,4111;1,032;stairs;Samsung Galaxy S10;Isaías
0,698928;-0,1417;0,9462;0,4224;1,046;stairs;Samsung Galaxy S10;Isaías
0,703371;-0,139;0,9552;0,4385;1,06;stairs;Samsung Galaxy S10;Isaías
0,707922;-0,1358;0,9603;0,4659;1,076;stairs;Samsung Galaxy S10;Isaías
0,713012;-0,1295;0,9662;0,4906;1,091;stairs;Samsung Galaxy S10;Isaías
0,718981;-0,1265;0,9738;0,5174;1,11;stairs;Samsung Galaxy S10;Isaías
0,724046;-0,1168;0,9786;0,5443;1,126;stairs;Samsung Galaxy S10;Isaías
0,729128;-0,1148;0,9843;0,5699;1,143;stairs;Samsung Galaxy S10;Isaías
0,733282;-0,1112;0,9899;0,5978;1,162;stairs;Samsung Galaxy S10;Isaías
0,738159;-0,1094;0,9918;0,6181;1,174;stairs;Samsung Galaxy S10;Isaías
0,74481;-0,1085;0,9935;0,6359;1,185;stairs;Samsung Galaxy S10;Isaías
0,748933;-0,1068;0,995;0,6515;1,194;stairs;Samsung Galaxy S10;Isaías
0,753417;-0,1063;0,9894;0,6628;1,196;stairs;Samsung Galaxy S10;Isaías
0,759204;-0,1033;0,9821;0,6643;1,19;stairs;Samsung Galaxy S10;Isaías
0,763731;-0,1019;0,9735;0,6623;1,182;stairs;Samsung Galaxy S10;Isaías
0,768958;-0,0992;0,9725;0,6532;1,176;stairs;Samsung Galaxy S10;Isaías
0,774711;-0,0972;0,9769;0,6403;1,172;stairs;Samsung Galaxy S10;Isaías
0,779126;-0,1002;0,985;0,6217;1,169;stairs;Samsung Galaxy S10;Isaías
0,784475;-0,1053;0,9952;0,6054;1,17;stairs;Samsung Galaxy S10;Isaías
0,790553;-0,109;1,008;0,5892;1,173;stairs;Samsung Galaxy S10;Isaías
0,796251;-0,1072;1,0199;0,5734;1,175;stairs;Samsung Galaxy S10;Isaías
0,799455;-0,1033;1,0292;0,5585;1,176;stairs;Samsung Galaxy S10;Isaías
0,804668;-0,0928;1,0348;0,5406;1,171;stairs;Samsung Galaxy S10;Isaías
0,809592;-0,0855;1,0392;0,5211;1,166;stairs;Samsung Galaxy S10;Isaías
0,814181;-0,074;1,0439;0,5011;1,16;stairs;Samsung Galaxy S10;Isaías
0,820472;-0,0662;1,049;0,4822;1,156;stairs;Samsung Galaxy S10;Isaías
0,825361;-0,0586;1,0539;0,4754;1,158;stairs;Samsung Galaxy S10;Isaías
0,829743;-0,0503;1,0583;0,4734;1,16;stairs;Samsung Galaxy S10;Isaías
0,835374;-0,0447;1,0634;0,4754;1,166;stairs;Samsung Galaxy S10;Isaías
0,840884;-0,0435;1,0688;0,483;1,174;stairs;Samsung Galaxy S10;Isaías
0,844669;-0,0432;1,0683;0,4989;1,18;stairs;Samsung Galaxy S10;Isaías
0,850765;-0,0457;1,0659;0,5223;1,188;stairs;Samsung Galaxy S10;Isaías
0,856051;-0,0479;1,0598;0,5519;1,196;stairs;Samsung Galaxy S10;Isaías
0,860974;-0,0501;1,0502;0,589;1,205;stairs;Samsung Galaxy S10;Isaías
0,865646;-0,0528;1,0339;0,633;1,213;stairs;Samsung Galaxy S10;Isaías
0,871419;-0,0574;1,0068;0,6801;1,216;stairs;Samsung Galaxy S10;Isaías
0,875866;-0,0623;0,9774;0,7246;1,218;stairs;Samsung Galaxy S10;Isaías
0,881204;-0,0628;0,9457;0,7585;1,214;stairs;Samsung Galaxy S10;Isaías
0,885144;-0,064;0,9186;0,7835;1,209;stairs;Samsung Galaxy S10;Isaías
0,890372;-0,0696;0,889;0,7971;1,196;stairs;Samsung Galaxy S10;Isaías
0,896237;-0,0787;0,8694;0,8042;1,187;stairs;Samsung Galaxy S10;Isaías
0,902011;-0,0889;0,8653;0,7988;1,181;stairs;Samsung Galaxy S10;Isaías
0,906803;-0,096;0,8758;0,7852;1,18;stairs;Samsung Galaxy S10;Isaías
0,911119;-0,1068;0,8924;0,7698;1,183;stairs;Samsung Galaxy S10;Isaías
0,915567;-0,1197;0,9095;0,7578;1,19;stairs;Samsung Galaxy S10;Isaías
0,920597;-0,1275;0,9229;0,7507;1,197;stairs;Samsung Galaxy S10;Isaías
0,926709;-0,1295;0,9347;0,7466;1,203;stairs;Samsung Galaxy S10;Isaías
0,931049;-0,1168;0,942;0,7361;1,201;stairs;Samsung Galaxy S10;Isaías
0,935814;-0,1029;0,9403;0,7283;1,194;stairs;Samsung Galaxy S10;Isaías
0,942297;-0,087;0,9381;0,7204;1,186;stairs;Samsung Galaxy S10;Isaías
0,946318;-0,0664;0,9337;0,7119;1,176;stairs;Samsung Galaxy S10;Isaías
0,951282;-0,0506;0,9322;0,7092;1,172;stairs;Samsung Galaxy S10;Isaías
0,957457;-0,0347;0,9354;0,7168;1,179;stairs;Samsung Galaxy S10;Isaías
0,962328;-0,0173;0,942;0,7207;1,186;stairs;Samsung Galaxy S10;Isaías
0,967626;-0,0024;0,9464;0,7155;1,186;stairs;Samsung Galaxy S10;Isaías
0,971535;0,012;0,9459;0,7106;1,183;stairs;Samsung Galaxy S10;Isaías
0,977091;0,0247;0,9403;0,7097;1,178;stairs;Samsung Galaxy S10;Isaías
0,98216;0,0352;0,9271;0,706;1,166;stairs;Samsung Galaxy S10;Isaías
