time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,352339;-0,0129;0,1368;0,9901;1;standing;Samsung Galaxy S10;Isaías
0,3573;-0,0112;0,1407;0,9891;0,999;standing;Samsung Galaxy S10;Isaías
0,36211;-0,0144;0,1419;0,9906;1,001;standing;Samsung Galaxy S10;Isaías
0,367342;-0,0154;0,1437;0,9926;1,003;standing;Samsung Galaxy S10;Isaías
0,372592;-0,0154;0,1412;0,994;1,004;standing;Samsung Galaxy S10;Isaías
0,377354;-0,0137;0,1437;0,9943;1,005;standing;Samsung Galaxy S10;Isaías
0,382622;-0,0156;0,1461;0,9938;1,005;standing;Samsung Galaxy S10;Isaías
0,387553;-0,0205;0,1485;0,9904;1,002;standing;Samsung Galaxy S10;Isaías
0,393476;-0,0215;0,1527;0,9872;0,999;standing;Samsung Galaxy S10;Isaías
0,398454;-0,0249;0,1561;0,9821;0,995;standing;Samsung Galaxy S10;Isaías
0,402843;-0,0254;0,1617;0,9833;0,997;standing;Samsung Galaxy S10;Isaías
0,407707;-0,0264;0,1661;0,9843;0,999;standing;Samsung Galaxy S10;Isaías
0,412825;-0,0313;0,1654;0,986;1;standing;Samsung Galaxy S10;Isaías
0,418076;-0,0345;0,1608;0,986;1;standing;Samsung Galaxy S10;Isaías
0,423103;-0,0352;0,1605;0,9826;0,996;standing;Samsung Galaxy S10;Isaías
0,429023;-0,0359;0,1578;0,9848;0,998;standing;Samsung Galaxy S10;Isaías
0,433268;-0,0347;0,1537;0,9828;0,995;standing;Samsung Galaxy S10;Isaías
0,438727;-0,0364;0,1505;0,9833;0,995;standing;Samsung Galaxy S10;Isaías
0,444129;-0,0396;0,1498;0,9816;0,994;standing;Samsung Galaxy S10;Isaías
0,448506;-0,0393;0,1478;0,9818;0,994;standing;Samsung Galaxy S10;Isaías
0,453618;-0,0369;0,1476;0,9821;0,994;standing;Samsung Galaxy S10;Isaías
0,459467;-0,0354;0,1483;0,9852;0,997;standing;Samsung Galaxy S10;Isaías
0,464165;-0,0345;0,1468;0,9882;1;standing;Samsung Galaxy S10;Isaías
0,469195;-0,0306;0,1481;0,9906;1,002;standing;Samsung Galaxy S10;Isaías
0,473896;-0,0296;0,1454;0,9918;1,003;standing;Samsung Galaxy S10;Isaías
0,47907;-0,0261;0,1461;0,9945;1,006;standing;Samsung Galaxy S10;Isaías
0,483866;-0,0244;0,1459;0,9992;1,01;standing;Samsung Galaxy S10;Isaías
0,488873;-0,023;0,1449;1,0009;1,012;standing;Samsung Galaxy S10;Isaías
0,493966;-0,0205;0,1456;1,0016;1,012;standing;Samsung Galaxy S10;Isaías
0,499319;-0,0203;0,1446;1,0011;1,012;standing;Samsung Galaxy S10;Isaías
