actividad,sujeto,movil,actividad_cat,userID,gFx_mean,gFy_mean,gFz_mean,TgF_mean,gFx_energia,gFy_energia,gFz_energia,TgF_energia,gFx_median,gFy_median,gFz_median,TgF_median,gFx_kurtosis,gFy_kurtosis,gFz_kurtosis,TgF_kurtosis
Standing,Alvaro,Unespecified,1,0,0.4539635304807534,0.21518974630021132,0.7140257121250311,1.0284274999999972,1.9053682513943035e-06,1.0442541534624344e-06,8.171282503390564e-06,3.23147437500001e-05,0.45390715347761446,0.215169133192389,0.7140912528358961,1.029,-0.2040741725960582,1.2952200605928876,3.5948786617783393,3.564981006470937
Standing,Alvaro,Unespecified,1,0,0.453949281348092,0.21521326638477795,0.7140010083186284,1.0283774999999977,1.9260308106630824e-06,1.059003791975993e-06,8.48096086893836e-06,3.354499375000011e-05,0.45390715347761446,0.2153276955602537,0.7140912528358961,1.029,-0.21608926549103824,1.2185555423295664,3.279498962307695,3.2538505018440693
Standing,Alvaro,Unespecified,1,0,0.45391314224351587,0.21526004228329815,0.7140697000252075,1.028514999999998,1.9655882083257632e-06,1.0607464834688258e-06,8.690399460154304e-06,3.4394775000000105e-05,0.45390715347761446,0.2153276955602537,0.7141920846987648,1.029,-0.157667436287646,1.2538327690256796,3.0325818615185005,3.002476984732647
Standing,Alvaro,Unespecified,1,0,0.45394535767388094,0.21529413319238913,0.7141155785228132,1.0286074999999983,2.1083763513573787e-06,1.0975241670726498e-06,8.694733044338775e-06,3.441844375000011e-05,0.45390715347761446,0.2153276955602537,0.7141920846987648,1.029,0.07593922683606058,1.0947048906056143,3.030500746926002,2.99944527979025
Standing,Alvaro,Unespecified,1,0,0.45402713530480765,0.21530853594080349,0.7141244013108143,1.0286349999999986,2.398090667671533e-06,1.1027043145669397e-06,8.635155316844195e-06,3.422177500000011e-05,0.45390715347761446,0.2153276955602537,0.7141920846987648,1.029,0.017434338161015805,1.0818964978021004,3.108662743519452,3.065007749076096
Standing,Alvaro,Unespecified,1,0,0.4540740128861723,0.21535584038054995,0.7141158306024706,1.0286199999999992,2.352045613709762e-06,1.1159537424462048e-06,8.530420953328811e-06,3.383560000000012e-05,0.45390715347761446,0.21543340380549683,0.7141920846987648,1.029,0.030524891501267692,1.0809608651129352,3.2333271650474007,3.1800025722503253
Standing,Alvaro,Unespecified,1,0,0.45407421939534137,0.2153814746300214,0.7140749936980088,1.0285399999999993,2.3686768431118946e-06,1.1353780515433717e-06,8.360271696372838e-06,3.3153400000000115e-05,0.45390715347761446,0.21543340380549683,0.7141920846987648,1.029,0.033435434403633835,1.0135184446615337,3.4329794024614575,3.377028131574469
Standing,Alvaro,Unespecified,1,0,0.45402630926813187,0.21540684460887982,0.7140845727249808,1.0285624999999994,2.4632125306665886e-06,1.1392409839303219e-06,8.293210882266748e-06,3.289609375000011e-05,0.45390715347761446,0.21543340380549683,0.7141920846987648,1.029,-0.02228602716253736,1.0350920698392043,3.5323841438040446,3.4729361238509826
Standing,Alvaro,Unespecified,1,0,0.4539973979844708,0.21544846723044425,0.7141405344088727,1.0286699999999995,2.4641490376365594e-06,1.1711400148170198e-06,8.483365617999634e-06,3.362610000000011e-05,0.45390715347761446,0.21559196617336152,0.7142425006301991,1.029,0.005814888438392618,0.9624267215005924,3.3127392963248683,3.262608498901715
Standing,Alvaro,Unespecified,1,0,0.45397261688419016,0.2154768763213534,0.7141129316864122,1.0286099999999994,2.4186405987569007e-06,1.1989560856828889e-06,8.534437595161353e-06,3.381790000000011e-05,0.45390715347761446,0.21559196617336152,0.7141920846987648,1.029,0.0740916530111928,0.8824853610707626,3.240514651521196,3.193131978055609
Standing,Alvaro,Unespecified,1,0,0.45400256071369605,0.21549815010570864,0.7141038568187541,1.0286,2.468052216162369e-06,1.2037983872229217e-06,8.415717798888992e-06,3.33600000000001e-05,0.45390715347761446,0.21559196617336152,0.7141920846987648,1.029,-0.02604169328547501,0.9014481234256406,3.3949093707247533,3.340997705432782
Standing,Alvaro,Unespecified,1,0,0.4540327110523713,0.21551942389006387,0.7140689437862362,1.0285324999999998,2.4774931958077505e-06,1.2183929657923068e-06,8.179789016253279e-06,3.24089437500001e-05,0.45390715347761446,0.21559196617336152,0.7141920846987648,1.029,-0.0635746355664768,0.8689080084969851,3.623587132108929,3.5606067401610106
Standing,Alvaro,Unespecified,1,0,0.45404861225838494,0.21555721458773833,0.714054701285606,1.0285075000000004,2.4716608811574586e-06,1.2587639335702883e-06,7.856572139866548e-06,3.110994375000009e-05,0.45390715347761446,0.21569767441860463,0.7141920846987648,1.029,-0.10186852210777397,0.7662969363591889,3.9651520011398667,3.9173810760283114
Standing,Alvaro,Unespecified,1,0,0.4540500578225678,0.21560214059196667,0.7140812956894378,1.0285675000000003,2.4584048296984715e-06,1.2817695843799734e-06,7.877819064885529e-06,3.119544375000009e-05,0.45390715347761446,0.21569767441860463,0.7141920846987648,1.029,-0.09482815331723993,0.782581015959408,3.942203386932709,3.8955748163211776
Standing,Alvaro,Unespecified,1,0,0.45403167850652615,0.2156326638477807,0.7140742374590371,1.028555,2.4909375721656183e-06,1.2717453369925091e-06,7.900936682127184e-06,3.127697500000008e-05,0.45390715347761446,0.21577695560253699,0.7141920846987648,1.029,-0.12226087480177217,0.9023557262114426,3.990235731827373,3.954606067566244
Standing,Alvaro,Unespecified,1,0,0.4540490252767227,0.21568327167019077,0.7140936475926394,1.0285949999999997,2.522992039329113e-06,1.2465925398305414e-06,7.912772797434149e-06,3.130597500000008e-05,0.45390715347761446,0.21585623678646934,0.7141920846987648,1.029,-0.17771894580155667,1.1579991264886083,3.9729328255531033,3.9459027133110345
