time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,353939;-0,1583;0,9579;0,3166;1,021;walking;Samsung Galaxy S10;Isaías
0,358998;-0,1365;0,9557;0,3479;1,026;walking;Samsung Galaxy S10;Isaías
0,365219;-0,1204;0,9503;0,3787;1,03;walking;Samsung Galaxy S10;Isaías
0,369061;-0,107;0,9442;0,4119;1,036;walking;Samsung Galaxy S10;Isaías
0,374026;-0,0975;0,9383;0,4402;1,041;walking;Samsung Galaxy S10;Isaías
0,379226;-0,0914;0,9337;0,459;1,044;walking;Samsung Galaxy S10;Isaías
0,384445;-0,0848;0,9308;0,4732;1,048;walking;Samsung Galaxy S10;Isaías
0,389202;-0,0811;0,9303;0,4776;1,049;walking;Samsung Galaxy S10;Isaías
0,394414;-0,0774;0,9312;0,4749;1,048;walking;Samsung Galaxy S10;Isaías
0,399512;-0,0799;0,9308;0,4673;1,045;walking;Samsung Galaxy S10;Isaías
0,404518;-0,0855;0,9254;0,4554;1,035;walking;Samsung Galaxy S10;Isaías
0,409637;-0,0904;0,9181;0,4356;1,02;walking;Samsung Galaxy S10;Isaías
0,418142;-0,098;0,9102;0,4124;1,004;walking;Samsung Galaxy S10;Isaías
0,421079;-0,1041;0,9066;0,3889;0,992;walking;Samsung Galaxy S10;Isaías
0,424996;-0,1109;0,9024;0,3637;0,979;walking;Samsung Galaxy S10;Isaías
0,429729;-0,1151;0,9005;0,3376;0,969;walking;Samsung Galaxy S10;Isaías
0,434917;-0,1207;0,8968;0,311;0,957;walking;Samsung Galaxy S10;Isaías
0,439901;-0,1241;0,8983;0,2846;0,95;walking;Samsung Galaxy S10;Isaías
0,444979;-0,1278;0,8971;0,2624;0,943;walking;Samsung Galaxy S10;Isaías
0,450283;-0,1287;0,8917;0,2411;0,933;walking;Samsung Galaxy S10;Isaías
0,45534;-0,1287;0,8917;0,2233;0,928;walking;Samsung Galaxy S10;Isaías
0,460179;-0,1324;0,888;0,2025;0,92;walking;Samsung Galaxy S10;Isaías
0,46568;-0,1383;0,8826;0,1854;0,912;walking;Samsung Galaxy S10;Isaías
0,470701;-0,1483;0,8775;0,17;0,906;walking;Samsung Galaxy S10;Isaías
0,475307;-0,1564;0,8751;0,1625;0,904;walking;Samsung Galaxy S10;Isaías
0,480396;-0,162;0,8785;0,1568;0,907;walking;Samsung Galaxy S10;Isaías
0,486079;-0,1671;0,8846;0,1503;0,913;walking;Samsung Galaxy S10;Isaías
0,49062;-0,1691;0,8944;0,1554;0,923;walking;Samsung Galaxy S10;Isaías
0,495626;-0,173;0,8988;0,1656;0,93;walking;Samsung Galaxy S10;Isaías
0,501009;-0,1788;0,9012;0,1727;0,935;walking;Samsung Galaxy S10;Isaías
0,505941;-0,1803;0,9037;0,1864;0,94;walking;Samsung Galaxy S10;Isaías
0,510948;-0,1825;0,9024;0,1979;0,942;walking;Samsung Galaxy S10;Isaías
0,516456;-0,1776;0,9054;0,2196;0,948;walking;Samsung Galaxy S10;Isaías
0,521439;-0,1717;0,9076;0,2455;0,956;walking;Samsung Galaxy S10;Isaías
0,526254;-0,1634;0,9071;0,2756;0,962;walking;Samsung Galaxy S10;Isaías
0,532123;-0,1554;0,9054;0,3044;0,968;walking;Samsung Galaxy S10;Isaías
0,538934;-0,1449;0,9019;0,3269;0,97;walking;Samsung Galaxy S10;Isaías
0,542307;-0,1363;0,8968;0,3464;0,971;walking;Samsung Galaxy S10;Isaías
0,546603;-0,1292;0,8978;0,3559;0,974;walking;Samsung Galaxy S10;Isaías
0,552192;-0,1187;0,9034;0,3637;0,981;walking;Samsung Galaxy S10;Isaías
0,55672;-0,1004;0,9134;0,3681;0,99;walking;Samsung Galaxy S10;Isaías
0,562177;-0,0801;0,9249;0,3659;0,998;walking;Samsung Galaxy S10;Isaías
0,566777;-0,0628;0,9344;0,3569;1,002;walking;Samsung Galaxy S10;Isaías
0,572893;-0,0506;0,9403;0,343;1,002;walking;Samsung Galaxy S10;Isaías
0,576897;-0,0447;0,9444;0,3237;0,999;walking;Samsung Galaxy S10;Isaías
0,583458;-0,0437;0,9452;0,3046;0,994;walking;Samsung Galaxy S10;Isaías
0,587174;-0,0472;0,9444;0,2846;0,988;walking;Samsung Galaxy S10;Isaías
0,592203;-0,0503;0,9467;0,2673;0,985;walking;Samsung Galaxy S10;Isaías
